2021-05-20T15:44:54,979 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:44:54,995 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:44:55,002 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:44:55,003 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:49:18,160 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:49:18,181 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:49:18,186 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:49:18,187 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T15:53:51,958 TRACE [Test worker]: DirectorController                   - > addDirector - method entered. directorDTO = DirectorDTO(super=BaseDTO(id=6), name=Mara, age=20, gender=female) 
2021-05-20T15:53:51,980 TRACE [Test worker]: DirectorController                   - > addDirector - after DTO -> Model conversion director = null 
2021-05-20T15:53:51,989 TRACE [Test worker]: DirectorController                   - > addDirector - result = null 
2021-05-20T15:53:51,991 TRACE [Test worker]: DirectorController                   - > addDirector - after Model -> DTO conversion directorModel = null 
2021-05-20T16:11:57,233 TRACE [Test worker]: ActorController                      - > addActor - method entered. actorDto = ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female) 
2021-05-20T16:11:57,246 TRACE [Test worker]: ActorController                      - > addActor - after DTO -> Model conversion actor = null 
2021-05-20T16:11:57,248 TRACE [Test worker]: ActorController                      - > addActor - result = null 
2021-05-20T16:11:57,250 TRACE [Test worker]: ActorController                      - > addActor - after Model -> DTO conversion actorModel = null 
2021-05-20T16:11:57,345 TRACE [Test worker]: ActorController                      - > deleteActor - method entered. id = 1 
2021-05-20T16:11:57,382 TRACE [Test worker]: ActorController                      - > getAllActors - method entered. 
2021-05-20T16:11:57,384 TRACE [Test worker]: ActorController                      - > getAllActors - result = [ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female), ActorDTO(super=BaseDTO(id=2), name=Max, age=20, gender=male)]. 
2021-05-20T16:11:57,612 TRACE [Test worker]: ActorController                      - > getAllActorsReport - method entered. 
2021-05-20T16:11:57,612 TRACE [Test worker]: ActorController                      - > getAllActorsReport - result = []. 
2021-05-20T16:12:58,716 TRACE [Test worker]: ActorController                      - > deleteActor - method entered. id = 1 
2021-05-20T16:12:58,805 TRACE [Test worker]: ActorController                      - > getAllActors - method entered. 
2021-05-20T16:12:58,807 TRACE [Test worker]: ActorController                      - > getAllActors - result = [ActorDTO(super=BaseDTO(id=1), name=Anna, age=18, gender=female), ActorDTO(super=BaseDTO(id=2), name=Max, age=20, gender=male)]. 
2021-05-20T16:12:58,991 TRACE [Test worker]: ActorController                      - > getAllActorsReport - method entered. 
